Cites,Authors,Title,Year,Source,GSRank,ECC,CitesPerYear,CitesPerAuthor,AuthorCount
978,"LM Donini, L Busetto, SC Bischoff, T Cederholm…",Definition and diagnostic criteria for sarcopenic obesity: ESPEN and EASO consensus statement,2022,Obesity facts,24,978,326,196,5
752,"N Fujiwara, H Nakagawa, Y Kudo, R Tateishi…","Sarcopenia, intramuscular fat deposition, and visceral adiposity independently predict the outcomes of hepatocellular carcinoma",2015,Journal of Hepatology,364,752,75.2,150,5
737,"J Bauer, JE Morley, AMWJ Schols…",Sarcopenia: a time for action. An SCWD position paper,2019,"Journal of Cachexia, Sarcopenia and Muscle",681,737,122.83,184,4
737,"RJS Dhillon, S Hasni",Pathogenesis and management of sarcopenia,2017,Clinics in geriatric medicine,856,737,92.13,369,2
659,"S Dasarathy, M Merli",Sarcopenia from mechanism to diagnosis and treatment in liver disease,2016,Journal of hepatology,106,659,73.22,330,2
647,"M Steffl, RW Bohannon, L Sontakova…",Relationship between sarcopenia and physical activity in older people: a systematic review and meta-analysis,2017,… interventions in aging,676,647,80.88,162,4
640,"AM Ryan, DG Power, L Daly, SJ Cushen…","Cancer-associated malnutrition, cachexia and sarcopenia: the skeleton in the hospital closet 40 years later",2016,Proceedings of the …,690,640,71.11,128,5
555,"BJ Caan, EMC Feliciano, CM Prado, S Alexeeff…",Association of muscle and adiposity measured by computed tomography with survival in patients with nonmetastatic breast cancer,2018,JAMA …,387,555,79.29,111,5
544,SK Papadopoulou,Sarcopenia: a contemporary health problem among older adult populations,2020,Nutrients,422,544,108.8,544,1
544,"TG Barbosa-Silva, AMB Menezes…",Enhancing SARC-F: improving sarcopenia screening in the clinical practice,2016,Journal of the American Medical Directors Association,205,544,60.44,181,3
530,"Y Hamaguchi, T Kaido, S Okumura, A Kobayashi…",Proposal for new diagnostic criteria for low skeletal muscle mass based on computed tomography imaging in Asian adults,2016,Nutrition,534,530,58.89,106,5
520,"KV Chang, TH Hsu, WT Wu, KC Huang…",Association between sarcopenia and cognitive impairment: a systematic review and meta-analysis,2016,Journal of the American Medical Directors Association,268,520,57.78,104,5
510,"SE Jones, M Maddocks, SSC Kon, JL Canavan…","Sarcopenia in COPD: prevalence, clinical correlates and response to pulmonary rehabilitation",2015,Thorax,919,510,51,102,5
493,"EMC Feliciano, CH Kroenke, JA Meyerhardt…",Association of systemic inflammation and sarcopenia with survival in nonmetastatic colorectal cancer: results from the C SCANS study,2017,JAMA …,532,493,61.63,123,4
481,"R Kawakami, H Murakami, K Sanada…",Calf circumference as a surrogate marker of muscle mass for diagnosing sarcopenia in J apanese men and women,2015,Geriatrics & …,862,481,48.1,120,4
477,"G Bahat, A Tufan, F Tufan, C Kilic, TS Akpinar, M Kose…",Cut-off points to identify sarcopenia according to European Working Group on Sarcopenia in Older People (EWGSOP) definition,2016,Clinical nutrition,310,477,53,68,7
475,"R Barazzoni, S Bischoff, Y Boirie, L Busetto…",Sarcopenic obesity: time to meet the challenge,2018,Obesity facts,99,475,67.86,95,5
466,KM Choi,Sarcopenia and sarcopenic obesity,2016,The Korean journal of internal medicine,101,466,51.78,466,1
461,"BA Derstine, SA Holcombe, BE Ross, NC Wang…",Skeletal muscle cutoff values for sarcopenia diagnosis using T10 to L5 measurements in a healthy US population,2018,Scientific reports,348,461,65.86,92,5
430,"B Kirk, J Zanker, G Duque","Osteosarcopenia: epidemiology, diagnosis, and treatment—facts and numbers",2020,"Journal of Cachexia, Sarcopenia and Muscle",892,430,86,143,3
429,"A Tournadre, G Vial, F Capel, M Soubrier, Y Boirie",Sarcopenia,2019,Joint bone spine,242,429,71.5,86,5
419,"P Bossi, P Delrio, A Mascheroni, M Zanetti",The spectrum of malnutrition/cachexia/sarcopenia in oncology according to different cancer types and settings: a narrative review,2021,Nutrients,960,419,104.75,105,4
408,"AA Sayer, A Cruz-Jentoft","Sarcopenia definition, diagnosis and treatment: consensus is growing",2022,Age and ageing,97,408,136,204,2
401,"D Albano, C Messina, J Vitale, LM Sconfienza",Imaging of sarcopenia: old evidence and new insights,2020,European radiology,76,401,80.2,100,4
396,CC Sieber,Malnutrition and sarcopenia,2019,Aging clinical and experimental research,500,396,66,396,1
389,"AA Damluji, M Alfaraidhy, N AlHajri, NN Rohant…",Sarcopenia and cardiovascular diseases,2023,Circulation,559,389,194.5,78,5
389,"MH Edwards, EM Dennison, AA Sayer, R Fielding…",Osteoporosis and sarcopenia in older age,2015,Bone,954,389,38.9,78,5
384,"TG Barbosa‐Silva, RM Bielemann…",Prevalence of sarcopenia among community‐dwelling elderly of a medium‐sized South American city: results of the COMO VAI? study,2016,"Journal of Cachexia, Sarcopenia and Muscle",474,384,42.67,128,3
380,"BJ Caan, JA Meyerhardt, CH Kroenke…",Explaining the obesity paradox: the association between body composition and colorectal cancer survival (C-SCANS Study),2017,Cancer epidemiology …,304,380,47.5,95,4
375,"VE Baracos, L Arribas",Sarcopenic obesity: hidden muscle wasting and its impact for survival and complications of cancer therapy,2018,Annals of Oncology,165,375,53.57,188,2
372,"M Sinclair, PJ Gow, M Grossmann…","sarcopenia in cirrhosis–aetiology, implications and potential therapeutic interventions",2016,Alimentary …,207,372,41.33,93,4
372,"J Gianoudis, CA Bailey, RM Daly","Associations between sedentary behaviour and body composition, muscle function and sarcopenia in community-dwelling older adults",2015,Osteoporosis international,249,372,37.2,124,3
367,"CJ Holmes, SB Racette",The utility of body composition assessment in nutrition and clinical practice: an overview of current methodology,2021,Nutrients,573,367,91.75,184,2
355,"…, LK Liu, H Arai, M Akishita, AWG for Sarcopenia",Recent advances in sarcopenia research in Asia: 2016 update from the Asian Working Group for Sarcopenia,2016,Journal of the American Medical Directors Association,239,355,39.44,71,5
350,"RD Boutin, L Yao, RJ Canter, L Lenchik",Sarcopenia: current concepts and imaging implications,2015,American Journal of …,153,350,35,88,4
347,"AL Bian, HY Hu, YD Rong, J Wang, JX Wang…",A study on relationship between elderly sarcopenia and inflammatory factors IL-6 and TNF-α,2017,European journal of …kkkk,184,347,43.38,58,6
345,"K Lee, Y Shin, J Huh, YS Sung, IS Lee…",Recent issues on body composition imaging for sarcopenia evaluation,2019,Korean journal of …,18,345,57.5,58,6
344,"EA Greco, P Pietschmann, S Migliaccio",Osteoporosis and sarcopenia increase frailty syndrome in the elderly,2019,Frontiers in Endocrinology,689,344,57.33,115,3
342,"CM Prado, SJ Cushen, CE Orsso…",Sarcopenia and cachexia in the era of obesity: clinical and nutritional impact,2016,Proceedings of the …,114,342,38,86,4
327,"S Tyrovolas, A Koyanagi, B Olaya…","Factors associated with skeletal muscle mass, sarcopenia, and sarcopenic obesity in older adults: a multi‐continent study",2016,"Journal of Cachexia, Sarcopenia and Muscle",109,327,36.33,82,4
323,"LM Donini, L Busetto, JM Bauer, S Bischoff, Y Boirie…",Critical appraisal of definitions and diagnostic criteria for sarcopenic obesity based on a systematic review,2020,Clinical Nutrition,90,323,64.6,54,6
323,"BHL Tan, K Brammer, N Randhawa, NT Welch…",Sarcopenia is associated with toxicity in patients undergoing neo-adjuvant chemotherapy for oesophago-gastric cancer,2015,European Journal of …llll,229,323,32.3,65,5
312,"MR Cho, S Lee, SK Song","A review of sarcopenia pathophysiology, diagnosis, treatment and future direction",2022,Journal of Korean medical …,350,312,104,104,3
312,"SL Gomez‐Perez, JM Haus, P Sheean…",Measuring abdominal circumference and skeletal muscle from a single cross‐sectional computed tomography image: a step‐by‐step guide for clinicians using …,2016,Journal of Parenteral …,679,312,34.67,78,4
310,"JA Elliott, SL Doyle, CF Murphy, S King…","Sarcopenia: prevalence, and impact on operative and oncologic outcomes in the multimodal management of locally advanced esophageal cancer",2017,Annals of …,407,310,38.75,62,5
308,"R Barazzoni, GL Jensen, MITD Correia, MC Gonzalez…",Guidance for assessment of the muscle mass phenotypic criterion for the Global Leadership Initiative on Malnutrition (GLIM) diagnosis of malnutrition,2022,Clinical Nutrition,686,308,102.67,62,5
307,"SK Papadopoulou, P Tsintavis, G Potsaki…","Differences in the prevalence of sarcopenia in community-dwelling, nursing home and hospitalized individuals. A systematic review and meta-analysis",2020,"The Journal of Nutrition, Health and Aging",935,307,61.4,77,4
286,"S Ida, R Kaneko, K Murata",SARC-F for screening of sarcopenia among older adults: a meta-analysis of screening test accuracy,2018,Journal of the American Medical Directors …,763,286,40.86,95,3
