Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
14122,"AJ Cruz-Jentoft, G Bahat, J Bauer, Y Boirie, ...","Sarcopenia: revised European consensus on definition and diagnosis",2019,"Age and …","academic.oup.com","https://academic.oup.com/ageing/article-abstract/48/1/16/5126243","https://scholar.google.com/scholar?cites=5779257351622980834&as_sdt=2005&sciodt=0,5&hl=en",259,"2025-08-12 20:35:49","","","","",,,,,14122,2353.67,2824,5,6,"… of sarcopenia, uses detection of low muscle quantity and quality to confirm the sarcopenia diagnosis, and identifies poor physical performance as indicative of severe sarcopenia; (2) …","https://academic.oup.com/ageing/article/48/1/16/5126243?","https://scholar.google.com/scholar?q=related:4nQNBfELNFAJ:scholar.google.com/&scioq=%22sarcopenia%22%7C%22sarcopenic+obesity%22+%22machine+learning%22%7C%22deep+learning%22%7C%22artificial+intelligence%22%7Cai%7C%22computer+vision%22%7C%22computer+graphics%22%7C%223d+body%22%7Cmorphometry%7C%22body+composition%22+diagnos*%7Cdetect*%7Cassess*%7Cpredict*%7Ctreat*%7Cintervention*&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2026"
5899,"LK Chen, J Woo, P Assantachai, TW Auyeung, ...","Asian Working Group for Sarcopenia: 2019 consensus update on sarcopenia diagnosis and treatment",2020,"Journal of the American …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1525861019308722","https://scholar.google.com/scholar?cites=4099770761001557286&as_sdt=2005&sciodt=0,5&hl=en",183,"2025-08-12 20:35:49","","","","",,,,,5899,1179.80,1180,5,5,"… for Sarcopenia (AWGS) 2014 consensus defined sarcopenia … specified cutoffs for each diagnostic component; research in … definition of sarcopenia but revises the diagnostic algorithm, …","https://www.sciencedirect.com/science/article/am/pii/S1525861019308722","https://scholar.google.com/scholar?q=related:Jt0HHslP5TgJ:scholar.google.com/&scioq=%22sarcopenia%22%7C%22sarcopenic+obesity%22+%22machine+learning%22%7C%22deep+learning%22%7C%22artificial+intelligence%22%7Cai%7C%22computer+vision%22%7C%22computer+graphics%22%7C%223d+body%22%7Cmorphometry%7C%22body+composition%22+diagnos*%7Cdetect*%7Cassess*%7Cpredict*%7Ctreat*%7Cintervention*&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2026"
4148,"T Cederholm, GL Jensen, M Correia, ...","GLIM criteria for the diagnosis of malnutrition–a consensus report from the global clinical nutrition community",2019,"… , sarcopenia and …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/jcsm.12383","https://scholar.google.com/scholar?cites=18072550282212180484&as_sdt=2005&sciodt=0,5&hl=en",578,"2025-08-12 20:35:49","","10.1002/jcsm.12383","","",,,,,4148,691.33,1037,4,6,"… chronic inflammation, leading to altered body composition and diminished biological function.1… Altered body composition manifests as a decrease in any marker of muscle mass (fat-free …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/jcsm.12383","https://scholar.google.com/scholar?q=related:BIKkrLqYzvoJ:scholar.google.com/&scioq=%22sarcopenia%22%7C%22sarcopenic+obesity%22+%22machine+learning%22%7C%22deep+learning%22%7C%22artificial+intelligence%22%7Cai%7C%22computer+vision%22%7C%22computer+graphics%22%7C%223d+body%22%7Cmorphometry%7C%22body+composition%22+diagnos*%7Cdetect*%7Cassess*%7Cpredict*%7Ctreat*%7Cintervention*&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2026"
3512,"AJ Cruz-Jentoft, AA Sayer","Sarcopenia",2019,"The Lancet","thelancet.com","https://www.thelancet.com/article/S0140-6736(19)31138-9/abstract","https://scholar.google.com/scholar?cites=898489373361167125&as_sdt=2005&sciodt=0,5&hl=en",255,"2025-08-12 20:35:49","","","","",,,,,3512,585.33,1756,2,6,"… Experimental medicine is focusing on translating our understanding of the pathophysiology of sarcopenia into diagnostic, therapeutic, and preventive advances. Additionally, a life …","https://www.sciencedirect.com/science/article/pii/S0140673619311389","https://scholar.google.com/scholar?q=related:FdunHVMTeAwJ:scholar.google.com/&scioq=%22sarcopenia%22%7C%22sarcopenic+obesity%22+%22machine+learning%22%7C%22deep+learning%22%7C%22artificial+intelligence%22%7Cai%7C%22computer+vision%22%7C%22computer+graphics%22%7C%223d+body%22%7Cmorphometry%7C%22body+composition%22+diagnos*%7Cdetect*%7Cassess*%7Cpredict*%7Ctreat*%7Cintervention*&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2026"
2476,"T Cederholm, I Bosaeus, R Barazzoni, J Bauer, ...","Diagnostic criteria for malnutrition–an ESPEN consensus statement",2015,"Clinical nutrition","Elsevier","https://www.sciencedirect.com/science/article/pii/S0261561415000758","https://scholar.google.com/scholar?cites=15828967926983354032&as_sdt=2005&sciodt=0,5&hl=en",495,"2025-08-12 20:35:49","","","","",,,,,2476,247.60,495,5,10,"… The concepts of cachexia and sarcopenia pinpoint the importance of variations in body composition, ie fat and muscle mass, as predictors of clinical outcome. The two-compartment …","https://www.clinicalnutritionjournal.com/article/S0261-5614(15)00075-8/fulltext","https://scholar.google.com/scholar?q=related:sObk0HbKq9sJ:scholar.google.com/&scioq=%22sarcopenia%22%7C%22sarcopenic+obesity%22+%22machine+learning%22%7C%22deep+learning%22%7C%22artificial+intelligence%22%7Cai%7C%22computer+vision%22%7C%22computer+graphics%22%7C%223d+body%22%7Cmorphometry%7C%22body+composition%22+diagnos*%7Cdetect*%7Cassess*%7Cpredict*%7Ctreat*%7Cintervention*&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2026"
1304,"JA Batsis, DT Villareal","Sarcopenic obesity in older adults: aetiology, epidemiology and treatment strategies",2018,"Nature Reviews Endocrinology","nature.com","https://www.nature.com/articles/s41574-018-0062-9","https://scholar.google.com/scholar?cites=3877786823998470862&as_sdt=2005&sciodt=0,5&hl=en",367,"2025-08-12 20:35:49","HTML","","","",,,,,1304,186.29,652,2,7,"… sarcopenic obesity. We discuss the evolution, controversies and challenges in defining sarcopenic obesity and present current body composition … in the diagnosis and epidemiological …","https://www.nature.com/articles/s41574-018-0062-9","https://scholar.google.com/scholar?q=related:znoeL5Kq0DUJ:scholar.google.com/&scioq=%22sarcopenia%22%7C%22sarcopenic+obesity%22+%22machine+learning%22%7C%22deep+learning%22%7C%22artificial+intelligence%22%7Cai%7C%22computer+vision%22%7C%22computer+graphics%22%7C%223d+body%22%7Cmorphometry%7C%22body+composition%22+diagnos*%7Cdetect*%7Cassess*%7Cpredict*%7Ctreat*%7Cintervention*&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2026"
1273,"G Shafiee, A Keshtkar, A Soltani, Z Ahadi, ...","Prevalence of sarcopenia in the world: a systematic review and meta-analysis of general population studies",2017,"Journal of Diabetes & …","Springer","https://link.springer.com/article/10.1186/s40200-017-0302-x","https://scholar.google.com/scholar?cites=2015181726506049549&as_sdt=2005&sciodt=0,5&hl=en",762,"2025-08-12 20:35:49","HTML","10.1186/s40200-017-0302-x","","",,,,,1273,159.13,255,5,8,"… diagnostic tools used to measure of muscle mass and different regions of the world for estimating parameters of sarcopenia, … , race and differences in body composition in ethnic groups) …","https://link.springer.com/article/10.1186/s40200-017-0302-x","https://scholar.google.com/scholar?q=related:DWBAdhpd9xsJ:scholar.google.com/&scioq=%22sarcopenia%22%7C%22sarcopenic+obesity%22+%22machine+learning%22%7C%22deep+learning%22%7C%22artificial+intelligence%22%7Cai%7C%22computer+vision%22%7C%22computer+graphics%22%7C%223d+body%22%7Cmorphometry%7C%22body+composition%22+diagnos*%7Cdetect*%7Cassess*%7Cpredict*%7Ctreat*%7Cintervention*&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2026"
1195,"F Petermann‐Rocha, V Balntzi, SR Gray, ...","Global prevalence of sarcopenia and severe sarcopenia: a systematic review and meta‐analysis",2022,"… , sarcopenia and …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/jcsm.12783","https://scholar.google.com/scholar?cites=11753839677612027704&as_sdt=2005&sciodt=0,5&hl=en",591,"2025-08-12 20:35:49","","10.1002/jcsm.12783","","",,,,,1195,398.33,299,4,3,"… (i) to identify and summarize the diagnostic criteria used to define sarcopenia and severe … All rights reserved, including rights for text and data mining and training of artificial intelligence …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/jcsm.12783","https://scholar.google.com/scholar?q=related:OO_0iukGHqMJ:scholar.google.com/&scioq=%22sarcopenia%22%7C%22sarcopenic+obesity%22+%22machine+learning%22%7C%22deep+learning%22%7C%22artificial+intelligence%22%7Cai%7C%22computer+vision%22%7C%22computer+graphics%22%7C%223d+body%22%7Cmorphometry%7C%22body+composition%22+diagnos*%7Cdetect*%7Cassess*%7Cpredict*%7Ctreat*%7Cintervention*&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2026"
1141,"SS Shachar, GR Williams, HB Muss, ...","Prognostic value of sarcopenia in adults with solid tumours: a meta-analysis and systematic review",2016,"European journal of …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0959804916000071","https://scholar.google.com/scholar?cites=16810676324325888467&as_sdt=2005&sciodt=0,5&hl=en",282,"2025-08-12 20:35:49","HTML","","","",,,,,1141,126.78,285,4,9,"… Body composition plays … diagnosis is associated with worse survival in patients with solid tumours. Further research into understanding and mitigating the negative effects of sarcopenia …","https://www.sciencedirect.com/science/article/pii/S0959804916000071","https://scholar.google.com/scholar?q=related:05GD2QyFS-kJ:scholar.google.com/&scioq=%22sarcopenia%22%7C%22sarcopenic+obesity%22+%22machine+learning%22%7C%22deep+learning%22%7C%22artificial+intelligence%22%7Cai%7C%22computer+vision%22%7C%22computer+graphics%22%7C%223d+body%22%7Cmorphometry%7C%22body+composition%22+diagnos*%7Cdetect*%7Cassess*%7Cpredict*%7Ctreat*%7Cintervention*&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2026"
1092,"SD Anker, JE Morley, ...","Welcome to the ICD‐10 code for sarcopenia",2016,"… of cachexia, sarcopenia …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/jcsm.12147","https://scholar.google.com/scholar?cites=1050740363192886887&as_sdt=2005&sciodt=0,5&hl=en",659,"2025-08-12 20:35:49","","10.1002/jcsm.12147","","",,,,,1092,121.33,364,3,9,"… for sarcopenia.28-30 This should also drive an increase in diagnostic tool availability for recognizing sarcopenia… and training of artificial intelligence technologies or similar technologies. …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/jcsm.12147","https://scholar.google.com/scholar?q=related:Z-ZGE8v6lA4J:scholar.google.com/&scioq=%22sarcopenia%22%7C%22sarcopenic+obesity%22+%22machine+learning%22%7C%22deep+learning%22%7C%22artificial+intelligence%22%7Cai%7C%22computer+vision%22%7C%22computer+graphics%22%7C%223d+body%22%7Cmorphometry%7C%22body+composition%22+diagnos*%7Cdetect*%7Cassess*%7Cpredict*%7Ctreat*%7Cintervention*&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2026"
